date,temperature,precipitation,discharge,TP
2022/9/14,280.0549716,0.00205805,820,
2022/9/15,280.1494525,0.007224354,789,
2022/9/16,277.8224609,0.005036798,758,
2022/9/17,279.4415983,0.003349424,763,
2022/9/18,280.5143853,0.005866258,862,
2022/9/19,279.8890982,0.005358813,862,
2022/9/20,277.435658,0.002530391,1030,
2022/9/21,279.0551968,0.003338872,1310,
2022/9/22,277.7034599,0.005214395,1470,
2022/9/23,274.5297781,0.000836622,1340,
2022/9/24,274.5804765,0.001091392,1330,
2022/9/25,277.8114401,0.004450717,1270,
2022/9/26,273.9353468,0.00806856,1270,
2022/9/27,268.9930614,0.000717933,1210,
2022/9/28,271.3299476,0.001110123,1200,
2022/9/29,272.4385223,0.002362227,1150,
2022/9/30,270.5856703,0.002715011,1140,
2022/10/1,271.9172507,0.002017804,,
2022/10/2,272.7421258,0.002082818,1080,
2022/10/3,274.2231798,0.002351737,1050,
2022/10/4,274.5254828,0.00104195,1060,
2022/10/5,276.347235,0.003234185,1070,
2022/10/6,274.9204038,0.00486735,1040,
2022/10/7,273.3025368,0.002522715,1030,
2022/10/8,273.711407,0.003694783,1000,
2022/10/9,272.6803059,0.003390035,949,
2022/10/10,271.48322,0.001595086,933,
2022/10/11,269.9664794,0.002052669,911,
2022/10/12,269.9513437,0.001694937,911,
2022/10/13,270.098158,0.002191543,993,
2022/10/14,267.9248955,0.001179767,1050,
2022/10/15,265.6417055,0.000723548,,
2022/10/16,265.4782058,0.000381763,1050,
2022/10/17,266.3102015,0.000395381,998,
2022/10/18,267.8313926,0.002435562,938,
2022/10/19,264.4211124,0.002065976,894,
2022/10/20,264.7426688,0.001224163,873,
2022/10/21,264.3020734,0.001559426,846,
2022/10/22,264.0473118,0.001700453,831,
2022/10/23,262.7225672,0.001606131,804,
2022/10/24,262.5716557,0.000822079,783,
2022/10/25,261.6368946,0.001795408,753,
2022/10/26,261.292952,0.001280165,722,
2022/10/27,257.8267845,7.82E-05,713,
2022/10/28,259.2176918,0.000685359,683,
2022/10/29,255.0183104,7.19E-06,683,
2022/10/30,255.4415326,1.09E-05,653,
2022/10/31,257.7129772,4.50E-06,614,
2022/11/1,260.0448007,8.30E-06,571,
2022/11/2,261.3474317,0.000144718,552,
2022/11/3,258.2971185,7.01E-05,552,
2022/11/4,258.525692,6.82E-05,542,
2022/11/5,259.3488593,3.69E-06,503,
2022/11/6,261.4747079,0.000139036,485,
2022/11/7,260.6869779,0.000180698,449,
2022/11/8,260.856819,0.000268756,458,
2022/11/9,262.3165804,9.08E-05,454,
2022/11/10,264.2648991,0.000794744,437,
2022/11/11,262.6941083,0.001278451,437,
2022/11/12,260.9334029,0.00064065,412,
2022/11/13,258.4359295,0.000500576,403,
2022/11/14,259.9110042,0.000107944,391,
2022/11/15,259.1826852,0.000267495,383,
2022/11/16,260.3376348,0.00053562,375,
2022/11/17,258.8481241,0.000190801,346,
2022/11/18,255.5896823,8.34E-06,338,
2022/11/19,259.4209409,0.00016329,319,
2022/11/20,261.4119067,0.000627746,300,
2022/11/21,257.4779541,0.000152881,300,
2022/11/22,260.0673671,0.000532141,288,
2022/11/23,256.6377785,5.73E-05,263,
2022/11/24,255.2641634,1.00E-05,,
2022/11/25,256.6311501,1.84E-06,,
2022/11/26,258.8796789,6.25E-05,227,
2022/11/27,258.79352,3.82E-05,,
2022/11/28,257.4050965,5.85E-07,220,
2022/11/29,258.2387914,5.28E-06,206,
2022/11/30,259.5682244,9.54E-05,159,
2022/12/1,258.7286522,5.72E-06,150,
2022/12/2,259.8510501,3.42E-06,163,
2022/12/3,261.6984795,7.71E-05,121,
2022/12/4,258.9759833,1.74E-05,153,
2022/12/5,258.4869639,7.28E-06,150,
2022/12/6,258.1985811,4.17E-06,147,
2022/12/7,258.2589877,8.45E-06,153,
2022/12/8,258.7223146,3.79E-06,144,
2022/12/9,259.5267654,5.05E-06,135,
2022/12/10,259.5435389,4.55E-06,138,
2022/12/11,258.6319564,3.07E-06,132,
2022/12/12,259.6021576,2.00E-06,132,
2022/12/13,258.6151771,4.54E-06,129,
2022/12/14,258.5973898,1.97E-06,129,
2022/12/15,258.8088366,4.06E-05,119,
2022/12/16,255.8020217,2.42E-05,119,
2022/12/17,256.8390362,0.00011137,107,
2022/12/18,256.8646354,8.71E-06,99,
2022/12/19,257.49146,4.69E-05,,
2022/12/20,256.1955165,2.69E-06,85,
2022/12/21,257.6350665,2.33E-06,85,
2022/12/22,256.8921547,1.03E-06,81,
2022/12/23,257.1090178,1.66E-06,85,
2022/12/24,259.7163835,0.000485242,81,
2022/12/25,256.6646873,0.000269763,87,
2022/12/26,256.7878688,0.000198552,87,
2022/12/27,255.5714231,0.000149057,83,
2022/12/28,252.8849651,0.000110518,87,
2022/12/29,254.0694528,5.01E-05,77,
2022/12/30,257.7034787,0.000529898,92,
2022/12/31,256.4742599,0.000367765,87,
2023/1/1,255.3894052,0.000260592,85,
2023/1/2,256.3170784,0.000254341,,
2023/1/3,256.2236794,0.000377063,83,
2023/1/4,255.717778,0.000286931,92,
2023/1/5,251.386123,2.55E-06,85,
2023/1/6,251.2023147,8.76E-07,89,
2023/1/7,252.6267347,2.15E-06,101,
2023/1/8,255.5705822,2.85E-08,98,
2023/1/9,257.0073632,7.86E-06,85,
2023/1/10,258.2510256,6.49E-05,82,
2023/1/11,258.1373766,6.91E-06,90,
2023/1/12,259.387699,0.000227491,87,
2023/1/13,257.6594578,8.31E-05,93,0.005
2023/1/14,257.484349,0.000146083,101,0.015166667
2023/1/15,257.8636284,4.42E-05,105,0.0085
2023/1/16,257.9039928,0.000364441,104,0.005
2023/1/17,256.369863,0.000429639,98,0.005
2023/1/18,254.2683261,0.000414141,95,0.005
2023/1/19,255.7547931,0.000388734,95,0.005
2023/1/20,258.5116208,0.000580963,90,
2023/1/21,255.865562,0.000600247,85,
2023/1/22,254.4864869,5.86E-06,87,
2023/1/23,254.0745455,9.14E-07,77,
2023/1/24,259.1094667,8.60E-05,87,
2023/1/25,261.5565656,3.60E-05,80,
2023/1/26,260.1251592,2.74E-05,77,
2023/1/27,259.1300313,5.46E-06,75,
2023/1/28,257.2538081,1.57E-06,80,0.005
2023/1/29,259.5141077,1.15E-06,87,0.005
2023/1/30,261.8196264,1.43E-06,90,0.005
2023/1/31,263.8114595,0.000273382,90,0.005
2023/2/1,260.683916,0.000195195,82,0.005
2023/2/2,259.5840151,1.09E-05,80,0.005
2023/2/3,260.7583827,6.96E-05,77,0.005
2023/2/4,261.1737058,5.08E-05,75,0.022
2023/2/5,261.0426773,0.00010399,77,0.005666667
2023/2/6,261.7803186,9.22E-05,82,0.005
2023/2/7,261.6477231,0.000866002,85,0.005
2023/2/8,257.9621883,0.000119116,87,0.005
2023/2/9,259.9359074,0.00022037,87,0.006
2023/2/10,261.9757221,8.11E-05,90,0.005
2023/2/11,262.3658095,0.000166393,95,0.005
2023/2/12,262.8727273,0.001411314,98,0.005
2023/2/13,256.8984496,0.000415901,95,0.005
2023/2/14,259.5761367,0.000161214,98,0.005
2023/2/15,260.7276536,0.000176734,98,0.005
2023/2/16,262.0496774,0.000107968,98,0.005
2023/2/17,263.7476357,0.000507285,93,0.005
2023/2/18,264.9500074,0.000422027,87,0.005
2023/2/19,265.4070934,0.000399267,90,0.005
2023/2/20,265.5622581,0.000572214,95,0.005
2023/2/21,264.3387023,0.000664785,101,0.005
2023/2/22,263.6453596,0.000389963,107,0.005
2023/2/23,262.7443451,0.001094389,112,0.005
2023/2/24,259.7879271,9.61E-05,112,0.005
2023/2/25,262.3292423,4.80E-05,101,0.005
2023/2/26,264.2780981,0.000414446,104,0.005166667
2023/2/27,265.1189157,0.001052971,98,0.005
2023/2/28,261.7501822,0.000838399,101,0.005
2023/3/1,261.2833662,0.000337946,101,0.005
2023/3/2,259.977164,6.38E-05,107,0.018
2023/3/3,263.3237723,0.000127577,104,0.0055
2023/3/4,265.6458233,0.00020593,104,0.005
2023/3/5,266.0724235,0.000797916,104,0.005
2023/3/6,266.007456,0.00141688,109,0.019166667
2023/3/7,264.7894209,0.000664526,107,0.0054
2023/3/8,265.874168,0.000436507,107,0.005
2023/3/9,266.4189032,0.00224839,107,0.005
2023/3/10,262.667003,0.000105129,104,0.005
2023/3/11,261.74303,9.04E-05,109,0.005
2023/3/12,261.231644,4.42E-06,107,0.005
2023/3/13,263.0430437,8.50E-05,112,0.005
2023/3/14,265.6072592,0.000475076,114,0.005
2023/3/15,264.3171363,0.000860877,112,0.005
2023/3/16,265.1246969,0.000359247,112,0.005
2023/3/17,266.348404,0.001407973,112,0.005
2023/3/18,266.3514407,0.000749326,112,0.005
2023/3/19,266.9930634,0.001242497,112,0.005
2023/3/20,266.7489191,0.000709632,114,0.019166667
2023/3/21,268.3623657,0.002831481,120,0.021666667
2023/3/22,265.1037609,0.003482987,125,0.007
2023/3/23,260.7788828,0.000243521,122,0.005
2023/3/24,259.8569134,0.000180619,112,0.019666667
2023/3/25,263.3371991,0.000793769,128,0.007166667
2023/3/26,263.3769271,0.001951683,135,0.005
2023/3/27,263.5029735,0.001745645,137,0.0362
2023/3/28,261.9173747,0.000810217,137,0.033
2023/3/29,259.773326,0.000667962,128,
2023/3/30,259.7314874,0.000171685,146,
2023/3/31,262.9758143,0.000314984,149,
2023/4/1,264.6444131,0.002841397,149,
2023/4/2,263.7821604,0.003788886,149,
2023/4/3,260.6686078,0.000451905,140,
2023/4/4,259.6846939,0.000437143,155,
2023/4/5,257.6891454,0.000453408,155,
2023/4/6,260.9270227,0.000551091,146,
2023/4/7,260.1090788,0.001017589,132,
2023/4/8,261.5569061,0.000178424,149,
2023/4/9,261.2525023,1.09E-05,146,
2023/4/10,262.3020372,1.65E-05,146,
2023/4/11,263.8975792,0.000153473,152,
2023/4/12,264.6705461,0.001098627,157,
2023/4/13,263.0935384,0.000159056,180,
2023/4/14,262.9996294,1.03E-05,187,
2023/4/15,265.7488039,3.46E-05,,
2023/4/16,269.3569243,0.001402573,198,
2023/4/17,271.170577,0.000647434,208,
2023/4/18,271.7220088,0.000130098,228,
2023/4/19,272.6833523,0.000745626,274,
2023/4/20,273.1098954,0.000988674,373,
2023/4/21,273.6851694,0.001098312,418,
2023/4/22,272.1533311,0.001670786,422,
2023/4/23,268.9076953,0.002677507,401,
2023/4/24,264.8711694,3.05E-05,410,
2023/4/25,267.9862031,1.09E-05,377,
2023/4/26,270.271168,0.00117409,349,
2023/4/27,270.9236452,0.001125104,296,
2023/4/28,269.715178,0.001514222,278,
2023/4/29,271.1102536,0.000552416,293,
2023/4/30,271.8891108,0.002829849,315,
2023/5/1,271.6768113,0.000581406,330,
2023/5/2,272.2995776,0.003981417,326,
2023/5/3,271.0876492,0.003942561,342,
2023/5/4,270.8993348,0.006242539,338,
2023/5/5,266.645889,0.000763453,323,
2023/5/6,264.4540553,0.002333066,315,
2023/5/7,266.4634025,0.001223401,311,
2023/5/8,267.2454315,0.001928143,300,
2023/5/9,267.9284324,0.003903193,296,
2023/5/10,263.2725472,0.003354817,274,
2023/5/11,260.1337745,0.001151765,256,
2023/5/12,259.1247126,0.000160619,242,
2023/5/13,260.4934379,1.05E-05,222,
2023/5/14,263.897935,1.01E-05,211,
2023/5/15,269.1078609,0.000103804,208,0.050666667
2023/5/16,272.3923823,0.003999832,222,0.049666667
2023/5/17,269.6903382,0.00138656,274,0.053666667
2023/5/18,270.7386937,0.00068319,315,0.085142857
2023/5/19,274.0648761,0.001059746,334,0.122333333
2023/5/20,273.2256184,0.004228982,369,0.471
2023/5/21,272.6530129,0.002789743,381,0.6165
2023/5/22,268.6415318,0.001636839,414,0.644333333
2023/5/23,270.3425816,0.000255861,405,0.839666667
2023/5/24,273.6722436,0.000930897,385,0.645
2023/5/25,274.9775775,0.00458106,377,0.486333333
2023/5/26,275.3226864,0.006745302,401,0.378
2023/5/27,274.2816354,0.005994739,414,0.634166667
2023/5/28,271.8860959,0.00126006,426,0.6495
2023/5/29,272.6383796,0.000442553,510,1.1478
2023/5/30,276.2218853,0.003036624,604,0.582428571
2023/5/31,276.4539107,0.001026995,689,0.997272727
2023/6/1,278.0393961,0.001365504,739,1.545888889
2023/6/2,279.3314368,0.002805671,694,1.152
2023/6/3,277.8173589,0.002957265,674,
2023/6/4,277.0145701,0.00522074,609,0.646
2023/6/5,277.8687688,0.003942216,559,0.4095
2023/6/6,274.643096,0.007538098,541,0.0182
2023/6/7,274.7843063,0.004481901,532,
2023/6/8,275.5462509,0.00441028,537,
2023/6/9,275.5716559,0.005594769,510,0.0572
2023/6/10,275.2641046,0.004742334,519,0.081333333
2023/6/11,273.010643,0.00326898,537,
2023/6/12,276.638327,0.001005885,545,
2023/6/13,275.0076886,0.005650297,559,
2023/6/14,275.6618014,0.003534799,577,
2023/6/15,277.7106298,0.006735721,573,
2023/6/16,276.9415291,0.00726816,573,
2023/6/17,274.5597559,0.001617883,604,
2023/6/18,277.001778,0.002207036,755,
2023/6/19,278.557637,0.004263652,869,
2023/6/20,277.0761907,0.004374397,946,
2023/6/21,277.6660959,0.003564505,946,0.038333333
2023/6/22,276.9983699,0.00191169,913,0.052333333
2023/6/23,277.7842146,0.001405406,974,
2023/6/24,278.5066007,0.000670752,1020,
2023/6/25,280.9871163,0.001040857,1010,0.087
2023/6/26,282.8842957,0.008591425,913,0.110833333
2023/6/27,279.9528895,0.010919099,831,0.2222
2023/6/28,280.3339706,0.006226122,908,0.1005
2023/6/29,281.3371791,0.00230822,1100,0.1514
2023/6/30,281.3938934,0.006752022,1313.333333,0.3396
2023/7/1,282.2081046,0.007817963,1320,1.16325
2023/7/2,278.2584215,0.007583277,1385,0.622166667
2023/7/3,278.7528101,0.000154087,1505,0.921833333
2023/7/4,280.9355049,0.004605396,1995,0.979
2023/7/5,282.1513655,0.005042308,1890,0.760666667
2023/7/6,282.4293063,0.007319104,1690,0.258666667
2023/7/7,283.4080239,0.003650409,1720,0.2682
2023/7/8,284.2798733,0.001765253,1690,0.2445
2023/7/9,285.3539456,0.003536192,1760,0.211666667
2023/7/10,285.3783521,0.006803298,1680,0.176833333
2023/7/11,285.8926845,0.006510767,1930,0.226833333
2023/7/12,281.8306081,0.011036019,2300,0.305666667
2023/7/13,279.265755,0.001401669,2200,0.633333333
2023/7/14,278.8766526,0.001544484,2500,0.769333333
2023/7/15,280.3302744,0.001557051,2600,0.893666667
2023/7/16,280.9358582,0.00176455,2260,0.25175
2023/7/17,282.2283805,0.001385454,1950,
2023/7/18,281.8083179,0.002306468,1700,
2023/7/19,281.9410707,0.001317309,1520,0.87225
2023/7/20,280.6749119,0.000644385,1300,0.411833333
2023/7/21,282.8447588,0.000166469,1200,0.311166667
2023/7/22,283.5632272,0.00526663,1000,0.227666667
2023/7/23,280.330186,0.005587165,869,0.1345
2023/7/24,281.5933423,0.00331928,814,0.108333333
2023/7/25,282.5536026,0.00776213,808,0.094166667
2023/7/26,279.7214587,0.002533406,729,0.0906
2023/7/27,281.2744655,0.001072136,781,0.077833333
2023/7/28,282.6906815,0.002565857,963,0.092166667
2023/7/29,283.7504257,0.001825525,1100,0.128833333
2023/7/30,284.9061264,0.00722341,1210,0.156666667
2023/7/31,283.0796389,0.005898536,1120,0.244333333
2023/8/1,282.9316545,0.004206616,1070,0.1565
2023/8/2,284.2477781,0.004955477,1320,0.300333333
2023/8/3,283.0333044,0.00271838,1240,0.1705
2023/8/4,283.4930028,0.007303356,1320,0.1645
2023/8/5,279.2047345,0.005105072,1380,0.2415
2023/8/6,281.1836816,0.000662786,1890,0.478333333
2023/8/7,283.6525466,0.001829404,1910,1.59
2023/8/8,284.2883863,0.008756177,1770,1.072833333
2023/8/9,284.6131448,0.006543819,2140,0.7566
2023/8/10,283.5251924,0.005430736,2185,0.186
2023/8/11,282.2554518,0.00166347,2220,0.200333333
2023/8/12,283.2839158,0.00078912,2230,0.732833333
2023/8/13,284.784695,0.013087346,2230,0.2966
2023/8/14,282.7247557,0.009989358,2355,1.1552
2023/8/15,283.860154,0.011142401,2690,2.057666667
2023/8/16,279.6446656,0.006540769,2785,1.509333333
2023/8/17,281.990366,0.001944242,3096.666667,1.301833333
2023/8/18,284.390726,0.006573207,3965,2.019
2023/8/19,281.8780307,0.002660184,4150,
2023/8/20,282.7404421,0.001203048,4065,
2023/8/21,281.3116639,0.001051541,3625,
2023/8/22,280.9475548,0.000459167,3145,
2023/8/23,281.2501932,0.002912833,,
2023/8/24,280.8717797,0.003885611,,
2023/8/25,277.1143653,0.009318248,,
2023/8/26,277.4520142,0.001967477,,
2023/8/27,279.0740778,0.001915541,2020,0.01825
2023/8/28,280.7157062,0.003984391,2020,0.028833333
2023/8/29,281.2706222,0.0031386,2020,0.025833333
2023/8/30,282.3488757,0.004915837,2070,0.040166667
2023/8/31,278.5576591,0.001882833,1990,0.044333333
2023/9/1,278.2463066,0.000111239,2040,0.052666667
2023/9/2,280.2090686,0.001925823,2010,0.284333333
2023/9/3,280.2713051,0.007006764,1870,0.0385
2023/9/4,279.5900299,0.003353296,1750,0.043333333
2023/9/5,280.7928507,0.002656078,1610,0.034166667
2023/9/6,281.1203928,0.004849108,1480,0.0272
2023/9/7,280.3378274,0.005360297,1370,0.0228
2023/9/8,279.0621932,0.001561866,1320,0.017833333
2023/9/9,279.8515161,0.003970943,1370,0.022
2023/9/10,277.0544446,0.004915795,1480,0.025
2023/9/11,274.2803801,0.001394619,1530,0.041166667
2023/9/12,274.5692142,0.000364132,1550,0.018333333
2023/9/13,275.9839786,0.000561944,1420,0.022666667
2023/9/14,277.364806,0.000190801,1420,0.022833333
2023/9/15,278.006199,0.00036405,1370,0.032833333
2023/9/16,279.0083472,0.005414899,1390,0.02225
2023/9/17,278.387526,0.001131474,1320,0.031
2023/9/18,279.5986967,0.006059191,1230,0.034
2023/9/19,278.3695884,0.005724299,1130,0.029833333
2023/9/20,277.0253967,0.001515282,1120,0.026
2023/9/21,278.0206786,0.002790834,1110,
2023/9/22,278.1398774,0.004766241,1180,
2023/9/23,277.0464274,0.005622404,1280,
2023/9/24,276.0112737,0.006480154,1350,
2023/9/25,274.5199951,0.004929264,1530,
2023/9/26,273.529414,0.001763445,1560,
2023/9/27,274.3585821,0.002223142,1660,
2023/9/28,274.6333292,0.002378385,1650,
2023/9/29,275.3789852,0.002491254,1590,
2023/9/30,277.2254073,0.003872052,1510,
2023/10/1,276.7127633,0.002770267,1400,
2023/10/2,277.2055494,0.001694088,1350,
2023/10/3,278.4489448,0.00823589,1340,
2023/10/4,275.2661139,0.010812051,1240,
2023/10/5,269.2220702,0.001546923,1300,
2023/10/6,264.6315308,0.00051305,1500,
2023/10/7,268.9346684,0.002356235,1590,
2023/10/8,267.2111208,0.000815104,1720,0.00925
2023/10/9,267.8426268,0.001356157,1800,0.013
2023/10/10,269.2680137,0.004694744,1650,0.0214
2023/10/11,264.2673799,0.005334546,1530,
2023/10/12,256.20919,0.000268653,1420,
2023/10/13,255.4108077,3.54E-05,1270,0.013
2023/10/14,257.5929758,0.000117871,1200,0.010666667
2023/10/15,263.0191508,0.000733814,1150,0.011
2023/10/16,262.6253403,0.001028972,1070,0.012333333
2023/10/17,265.6629281,0.003116851,1030,0.0135
2023/10/18,260.3854274,0.00163288,974,0.012666667
2023/10/19,259.6337968,0.000955971,946,0.022333333
2023/10/20,260.0228932,0.001073549,897,0.017333333
2023/10/21,258.4082589,0.000289007,864,0.0222
2023/10/22,258.6195343,0.000205579,842,0.0245
2023/10/23,261.8808495,0.001600335,814,0.017333333
2023/10/24,260.9121198,0.00207384,792,0.015333333
2023/10/25,259.5885806,0.000925161,776,0.016333333
2023/10/26,257.9005821,0.000293168,765,0.016
2023/10/27,255.8113254,0.000133107,765,
2023/10/28,253.0546199,2.18E-05,755,0.0185
2023/10/29,253.9843848,3.72E-05,734,
2023/10/30,254.4584517,1.36E-05,709,
2023/10/31,255.7343378,7.95E-06,689,
2023/11/1,259.5827893,0.000336254,665,0.032
2023/11/2,261.237934,0.000673054,650,0.019166667
2023/11/3,260.9299822,0.001451343,641,0.016333333
2023/11/4,255.4815286,0.001087237,641,0.026333333
2023/11/5,250.378197,1.53E-05,622,0.0175
